event_id,user_id,known_device,location_deviation,failed_login_count,recent_password_reset,mfa_verified,phone_change_frequency,login_time_deviation,trust_score,label
E000031,S0058,1,0.1676,1,0,0,0,0.1731,74,0
E000032,S3979,1,0.0839,0,0,1,0,0.1302,61,0
E000033,S2807,1,0.3816,1,1,0,1,0.7484,82,1
E000034,S3031,1,0.1341,0,0,1,0,0.0125,84,0
E000035,S3889,1,0.0336,0,0,1,0,0.0762,78,0
E000036,S1699,1,0.0919,0,0,1,0,0.3021,68,1
E000037,S1289,0,0.4217,0,0,1,0,0.6992,85,0
E000038,S4161,1,0.2627,0,0,1,0,0.1143,60,0
E000039,S2503,1,0.2242,0,0,1,0,0.1046,83,0
E000040,S1408,0,0.1296,0,0,1,0,0.5972,78,0
E000041,S0590,1,0.0825,0,0,1,0,0.1287,79,0
E000042,S0112,0,0.4982,7,1,0,2,0.8888,30,1
E000043,S3143,1,0.0096,0,0,1,0,0.0333,89,0
E000044,S0160,1,0.071,0,1,1,0,0.0733,70,0
E000045,S3301,1,0.105,0,0,1,0,0.0167,100,0
E000046,S1590,0,0.0288,0,0,1,0,0.1982,88,0
E000047,S4049,1,0.021,0,1,1,0,0.1445,74,0
E000048,S3727,1,0.0627,0,0,1,0,0.0187,91,1
E000049,S0269,1,0.0645,0,0,1,0,0.098,90,0
E000050,S0381,1,0.0606,0,0,1,0,0.1223,72,0
E000051,S1279,1,0.0524,0,0,1,0,0.0166,82,0
E000052,S2409,0,0.6482,2,1,1,1,0.3393,39,1
E000053,S0297,1,0.6045,3,1,1,4,0.1958,31,1
E000054,S2058,1,0.0102,0,0,1,0,0.0589,84,0
E000055,S1976,1,0.0622,0,0,1,0,0.0197,77,0
E000056,S0138,0,0.3527,0,0,1,2,0.1426,55,1
E000057,S2063,1,0.037,2,1,1,0,0.0481,88,0
E000058,S3587,0,0.2183,0,0,1,1,0.6331,61,0
E000059,S0285,0,0.7939,2,1,1,4,0.8247,37,1
E000060,S2804,1,0.0628,0,0,1,0,0.0311,76,0
E000061,S3173,1,0.1298,0,0,1,0,0.0053,72,0
E000062,S0469,1,0.075,0,0,1,0,0.3482,75,0
E000063,S2624,1,0.0429,0,0,1,0,0.0611,90,0
E000064,S1542,1,0.0629,1,0,1,0,0.0869,86,0
E000065,S1343,1,0.2162,0,0,1,0,0.1045,86,0
E000066,S2390,0,0.2917,0,0,1,0,0.2256,75,0
E000067,S2203,1,0.0943,0,0,1,0,0.3939,91,1
E000068,S2169,1,0.0475,0,0,1,1,0.0884,75,0
E000069,S0474,1,0.0985,0,0,1,0,0.0827,87,0
E000070,S3433,0,0.4501,0,1,1,0,0.4697,33,1
E000071,S2998,1,0.0238,0,1,1,0,0.0712,82,1
E000072,S1553,1,0.0223,0,0,0,0,0.035,78,0
E000073,S3056,1,0.0424,0,0,1,0,0.0413,95,0
E000074,S1175,1,0.0379,0,0,1,0,0.3131,72,0
E000075,S1206,1,0.0944,0,0,1,0,0.0889,97,0
E000076,S4065,0,0.0567,0,0,1,1,0.0967,72,0
E000077,S2477,1,0.116,0,0,1,0,0.4187,75,0
E000078,S1922,0,0.5041,5,0,0,2,0.7147,40,1
E000079,S0298,0,0.0454,0,1,1,0,0.1673,63,1
E000080,S2763,0,0.3749,1,0,1,0,0.275,78,0
E000081,S0342,1,0.2333,0,0,1,0,0.6984,95,0
E000082,S0734,0,0.1132,0,1,1,0,0.0535,85,1
E000083,S0893,1,0.0653,0,0,1,0,0.21,69,0
E000084,S2246,1,0.0427,0,0,1,0,0.0265,79,0
E000085,S1561,0,0.5619,1,0,1,1,0.5748,18,1
E000086,S3176,0,0.7131,4,0,0,0,0.4841,31,1
E000087,S0312,1,0.1346,0,0,1,0,0.0552,89,0
E000088,S3150,0,0.3896,0,1,0,0,0.7506,51,1
E000089,S3352,1,0.0647,0,1,1,0,0.0917,85,0
E000090,S3849,1,0.1184,0,0,1,1,0.1885,84,0
E000091,S2503,1,0.0788,0,1,1,0,0.2025,66,0
E000092,S3835,0,0.1372,0,0,1,0,0.0675,66,0
E000093,S3607,1,0.0189,0,0,1,0,0.1114,69,0
E000094,S3395,1,0.2149,0,0,1,0,0.0721,91,0
E000095,S2894,0,0.1498,0,0,1,0,0.3519,57,0
E000096,S0786,1,0.2877,1,1,1,1,0.1635,52,1
E000097,S1629,0,0.038,0,0,1,0,0.0553,68,0
E000098,S1195,1,0.8209,0,1,0,0,0.379,49,0
E000099,S1266,0,0.439,0,1,1,0,0.236,76,1
E000100,S3285,1,0.1853,0,0,1,0,0.0892,92,0
E000101,S3603,1,0.2939,3,0,1,0,0.5734,58,0
E000102,S0392,1,0.0805,0,1,1,0,0.0766,78,0
E000103,S3398,1,0.0358,0,0,1,0,0.0273,79,0
E000104,S0564,1,0.0259,0,0,1,0,0.1809,57,0
E000105,S3497,1,0.3465,1,1,0,1,0.2579,56,0
E000106,S0273,0,0.357,0,0,1,2,0.3625,38,1
E000107,S1687,1,0.083,0,0,1,0,0.6472,96,0
E000108,S2767,1,0.0399,0,0,1,0,0.1707,79,0
E000109,S0697,1,0.2263,0,0,1,0,0.0882,89,0
E000110,S2572,1,0.1459,0,0,1,0,0.1054,81,0
E000111,S0217,0,0.1549,1,1,1,0,0.0193,73,0
E000112,S0665,1,0.0827,1,0,1,1,0.0248,87,0
E000113,S0080,1,0.8202,5,1,1,2,0.522,43,1
E000114,S2891,1,0.0996,0,0,1,0,0.2311,75,0
E000115,S0793,0,0.0488,0,0,1,1,0.1745,69,0
E000116,S2309,0,0.3845,1,0,1,2,0.4214,79,0
E000117,S0132,0,0.8087,4,1,0,5,0.578,14,1
E000118,S3657,1,0.0329,0,0,1,0,0.1891,83,0
E000119,S1947,0,0.7333,2,0,0,0,0.7714,73,1
E000120,S1260,1,0.0305,0,0,1,0,0.0412,93,0
E000121,S1840,0,0.4785,0,1,1,1,0.0543,83,0
E000122,S0721,1,0.0748,1,0,1,0,0.0791,90,0
E000123,S3761,1,0.1479,0,0,1,0,0.1735,88,0
E000124,S1541,1,0.0583,0,0,1,0,0.0283,73,0
E000125,S1034,0,0.6152,3,0,1,0,0.5933,24,1
E000126,S3085,0,0.0795,1,1,1,3,0.4634,68,1
E000127,S0048,1,0.0625,0,0,1,0,0.6694,64,0
E000128,S1330,1,0.0907,0,0,1,0,0.3183,77,0
E000129,S0900,1,0.0808,0,0,1,0,0.1445,91,0
E000130,S3201,1,0.0293,0,0,1,0,0.0811,70,0
E000131,S0003,0,0.0746,0,0,1,0,0.1855,85,0
E000132,S1229,0,0.2621,1,1,1,1,0.4615,58,0
E000133,S0278,0,0.8885,2,1,0,2,0.5083,11,1
E000134,S2138,1,0.0672,0,1,1,0,0.0656,65,0
E000135,S0321,1,0.0742,0,0,1,0,0.5009,71,0
E000136,S1148,0,0.1215,0,0,1,0,0.4226,81,0
E000137,S1405,1,0.0805,1,1,1,0,0.0143,94,0
E000138,S0816,1,0.0655,1,0,1,0,0.0215,74,0
E000139,S1439,1,0.0487,0,0,1,0,0.1564,80,0
E000140,S1025,0,0.023,0,0,1,0,0.2547,92,0
E000141,S1484,1,0.0479,0,0,1,0,0.0863,89,0
E000142,S3910,0,0.4331,2,0,1,0,0.4823,30,0
E000143,S1568,1,0.2061,0,0,1,0,0.0968,77,0
E000144,S4066,0,0.5562,2,1,0,0,0.4799,23,1
E000145,S2704,1,0.0578,0,0,1,0,0.0771,74,0
E000146,S2497,1,0.0286,0,0,1,1,0.117,83,0
E000147,S0426,1,0.0422,0,0,1,0,0.0666,79,0
E000148,S0702,0,0.4628,1,0,1,0,0.7676,14,1
E000149,S2839,1,0.0985,0,0,1,1,0.1024,74,0
E000150,S0454,1,0.0381,0,0,1,0,0.1642,85,0
E000151,S1702,1,0.0603,0,0,1,0,0.0243,89,0
E000152,S1398,1,0.3286,0,0,1,0,0.0992,87,0
E000153,S0942,1,0.5592,1,1,1,0,0.716,53,1
E000154,S0098,1,0.7017,3,1,0,7,0.7112,17,1
E000155,S1282,1,0.0236,0,0,1,0,0.0491,70,0
E000156,S0682,1,0.121,0,0,1,0,0.6162,78,0
E000157,S3676,1,0.1007,1,0,1,0,0.068,92,0
E000158,S1759,1,0.3285,0,1,1,0,0.3361,45,1
E000159,S2583,1,0.0593,0,1,1,0,0.0743,69,0
E000160,S1986,1,0.0899,0,0,1,0,0.5558,89,0
E000161,S2913,0,0.1279,0,0,1,0,0.2717,68,1
E000162,S3707,1,0.0477,0,0,1,0,0.1386,62,0
E000163,S0507,1,0.0536,1,0,1,0,0.1576,59,0
E000164,S3761,0,0.0336,0,0,1,0,0.1853,59,1
E000165,S2501,0,0.5363,3,0,1,1,0.101,94,0
E000166,S0898,0,0.061,0,0,1,1,0.1612,72,0
E000167,S3144,0,0.5044,3,0,0,1,0.3978,21,1
E000168,S0646,0,0.6832,3,1,0,0,0.695,13,1
E000169,S0582,0,0.0762,0,0,1,0,0.0407,80,0
E000170,S0653,1,0.0726,1,0,1,0,0.0415,75,0
E000171,S0163,1,0.0549,0,1,1,0,0.1389,67,0
E000172,S2094,1,0.0478,0,0,1,0,0.0183,73,0
E000173,S1264,1,0.5434,2,1,1,0,0.5818,52,1
E000174,S2284,1,0.2934,1,0,1,0,0.4603,65,0
E000175,S0536,1,0.1202,0,0,1,0,0.114,84,0
E000176,S1318,1,0.159,0,0,1,0,0.0628,79,0
E000177,S3722,1,0.0445,2,1,1,0,0.0681,82,0
E000178,S3479,1,0.0041,0,0,1,0,0.0574,79,0
E000179,S3368,0,0.6531,3,1,0,0,0.6638,37,1
E000180,S2136,1,0.0629,0,0,1,0,0.0754,98,0
E000181,S1573,1,0.1935,0,0,1,0,0.0217,71,0
E000182,S3191,1,0.0662,0,0,1,0,0.0446,80,0
E000183,S2123,0,0.526,2,1,1,0,0.8365,0,1
E000184,S0035,1,0.253,1,1,0,1,0.1245,37,1
E000185,S1974,1,0.0176,0,0,1,1,0.1288,83,0
E000186,S0112,0,0.6462,1,0,1,7,0.296,50,1
E000187,S1237,1,0.0374,0,0,1,0,0.1189,89,0
E000188,S3211,1,0.172,1,1,1,0,0.2052,59,1
E000189,S2816,1,0.0398,0,0,1,0,0.0768,72,0
E000190,S1427,0,0.1362,1,0,1,0,0.4712,48,1
E000191,S0117,0,0.6193,6,1,0,6,0.7052,37,1
E000192,S0049,1,0.6945,0,0,1,1,0.2403,90,0
E000193,S1399,1,0.0896,0,0,1,1,0.1202,88,0
E000194,S1018,1,0.2339,0,0,1,0,0.0858,85,0
E000195,S1045,1,0.1446,1,0,1,0,0.1219,81,0
E000196,S2521,0,0.118,0,1,1,0,0.2509,65,0
E000197,S0172,1,0.123,0,1,1,0,0.0565,65,0
E000198,S2187,1,0.1545,1,0,1,0,0.0188,64,0
E000199,S1600,1,0.0815,0,0,1,0,0.0611,81,0
E000200,S0177,1,0.0261,0,0,1,0,0.075,68,0
E000201,S0858,0,0.8027,5,0,0,0,0.8516,27,1
E000202,S0168,1,0.3387,0,1,1,5,0.1919,68,0
E000203,S0971,1,0.1483,0,0,1,0,0.0825,88,0
E000204,S0298,0,0.1911,0,0,1,0,0.1209,72,0
E000205,S3249,1,0.543,1,0,1,2,0.4856,33,1
E000206,S0054,1,0.0355,1,0,1,0,0.0925,80,0
E000207,S4108,0,0.1073,0,0,1,0,0.0718,61,0
E000208,S3660,1,0.2389,0,0,1,1,0.6823,77,0
E000209,S0047,1,0.0941,0,0,1,0,0.0696,85,0
E000210,S3950,1,0.121,0,0,1,0,0.0525,80,0
E000211,S0984,1,0.0282,1,1,1,1,0.2126,92,0
E000212,S3866,0,0.0812,0,1,1,0,0.2842,58,1
E000213,S0144,0,0.3515,1,0,1,4,0.6965,48,1
E000214,S0784,1,0.0238,0,0,1,0,0.7704,99,0
E000215,S0215,1,0.3788,0,0,1,4,0.4264,30,1
E000216,S3644,0,0.0086,0,0,1,0,0.1227,55,0
E000217,S0509,1,0.0966,0,0,1,0,0.0531,78,0
E000218,S0298,1,0.0714,0,0,1,0,0.0251,81,0
E000219,S2157,1,0.2044,0,0,1,0,0.1144,66,0
E000220,S0225,0,0.2897,2,1,1,0,0.4189,75,0
E000221,S0957,1,0.0672,0,0,1,0,0.0167,76,0
E000222,S3841,0,0.7311,0,1,0,1,0.2752,21,1
E000223,S2372,1,0.0247,0,0,1,0,0.1432,75,0
E000224,S2913,1,0.2424,0,0,1,0,0.0792,68,0
E000225,S0523,0,0.5163,0,0,1,0,0.3312,74,0
E000226,S1618,1,0.0763,0,0,1,0,0.103,68,0
E000227,S0257,1,0.0674,0,0,1,0,0.1685,97,0
E000228,S2794,0,0.1367,0,0,1,0,0.1361,74,0
E000229,S2720,1,0.0133,0,0,1,0,0.1024,83,0
E000230,S3142,1,0.0341,0,0,1,0,0.0788,80,0
E000231,S0118,0,0.7021,4,1,0,2,0.7748,21,1
E000232,S3611,1,0.067,1,0,1,0,0.094,84,0
E000233,S2631,1,0.0798,0,1,1,0,0.394,80,1
E000234,S1881,1,0.123,0,0,1,0,0.7027,86,0
E000235,S1439,0,0.4885,1,1,1,1,0.748,33,1
E000236,S3288,1,0.0502,0,1,1,0,0.1023,55,0
E000237,S2908,1,0.0624,0,0,1,0,0.0284,83,0
E000238,S2967,1,0.1479,0,0,1,0,0.4265,84,0
E000239,S2534,1,0.1011,0,0,1,0,0.0447,75,0
E000240,S0883,1,0.2084,0,0,1,0,0.1103,89,0
E000241,S1695,0,0.2759,0,0,1,0,0.0459,61,1
E000242,S3987,0,0.2475,0,1,0,1,0.162,10,1
E000243,S2354,1,0.1282,0,0,1,0,0.0752,77,0
E000244,S1293,0,0.3296,1,0,0,0,0.2484,69,1
E000245,S0133,0,0.891,2,1,0,4,0.6787,41,1
E000246,S0276,0,0.5401,3,1,0,6,0.6114,18,1
E000247,S3713,0,0.5252,3,0,1,0,0.663,13,1
E000248,S2041,0,0.0954,0,0,1,0,0.0588,44,1
E000249,S0899,1,0.4366,0,0,0,1,0.4282,62,1
E000250,S2080,0,0.2778,1,0,1,0,0.5088,46,0
E000251,S0340,0,0.1232,0,0,1,1,0.2574,71,1
E000252,S4004,1,0.052,0,0,1,0,0.0349,85,0
E000253,S1730,1,0.0268,0,0,1,0,0.0615,88,0
E000254,S0953,1,0.0901,0,0,1,0,0.0043,86,0
E000255,S1762,0,0.7991,2,1,0,0,0.5242,13,1
E000256,S2455,0,0.4399,0,1,1,1,0.4243,60,1
E000257,S3789,1,0.1804,0,0,1,0,0.0415,85,0
E000258,S3641,1,0.0847,0,0,1,0,0.5756,99,0
E000259,S3937,0,0.3977,2,1,1,0,0.5648,72,1
E000260,S1080,1,0.2644,0,0,1,0,0.0818,42,1
E000261,S0203,1,0.4165,0,0,1,6,0.2248,58,1
E000262,S2344,1,0.0758,0,0,1,0,0.0257,60,0
E000263,S2908,1,0.059,0,0,1,0,0.286,67,0
E000264,S0299,1,0.3524,0,0,1,1,0.3797,42,1
E000265,S2184,0,0.3688,1,1,0,1,0.3904,78,1
E000266,S2924,1,0.0613,0,0,1,0,0.6422,68,0
E000267,S3933,1,0.1839,1,1,1,0,0.1266,82,0
E000268,S2467,0,0.6719,1,1,1,1,0.3293,51,0
E000269,S3239,1,0.0514,0,0,1,0,0.0832,82,0
E000270,S1342,0,0.6218,3,1,1,0,0.7748,62,1
E000271,S2445,0,0.7614,4,0,1,1,0.6684,37,1
E000272,S2881,1,0.1745,0,1,1,0,0.2134,70,0
E000273,S3454,0,0.8241,0,0,1,0,0.2146,48,0
E000274,S3403,0,0.6696,1,0,1,0,0.6294,67,1
E000275,S0851,1,0.0733,0,0,1,0,0.0524,83,0
E000276,S2768,1,0.1864,2,0,1,0,0.0688,71,0
E000277,S3423,1,0.1288,0,1,1,1,0.122,93,0
E000278,S2994,1,0.0185,0,1,1,0,0.0585,76,0
E000279,S0413,0,0.3626,1,0,1,0,0.2607,58,0
E000280,S3456,1,0.0579,0,0,1,0,0.099,73,0
E000281,S2791,1,0.1113,0,0,1,0,0.3481,75,0
E000282,S0016,0,0.4682,2,0,0,1,0.8385,18,1
E000283,S3816,0,0.0797,0,0,1,0,0.0676,70,0
E000284,S0247,1,0.021,0,0,1,0,0.1593,69,0
E000285,S1385,1,0.1176,0,0,1,0,0.0612,87,0
E000286,S0576,1,0.0742,1,0,1,0,0.0661,83,0
E000287,S0409,0,0.2088,0,1,1,1,0.1113,33,1
E000288,S2282,1,0.0221,1,0,1,0,0.0718,71,0
E000289,S1739,1,0.0233,1,0,1,0,0.1626,56,0
E000290,S3268,1,0.0146,0,1,1,0,0.0655,78,0
E000291,S2060,1,0.0119,0,1,1,0,0.206,59,0
E000292,S1919,0,0.1284,0,0,1,0,0.1684,83,0
E000293,S0068,0,0.3074,0,1,0,5,0.3398,33,1
E000294,S2062,1,0.0356,1,0,1,0,0.0248,76,0
E000295,S2967,1,0.1006,0,0,1,1,0.0571,70,0
E000296,S0338,1,0.1398,1,0,1,0,0.1555,81,1
E000297,S3931,0,0.1369,0,0,1,0,0.6937,78,0
E000298,S1451,1,0.071,0,0,1,0,0.0162,81,1
E000299,S1264,0,0.7901,2,0,0,1,0.7404,22,1
E000300,S1198,1,0.0989,1,0,1,0,0.0267,73,0
E000301,S1409,1,0.0542,0,0,1,0,0.1444,74,0
E000302,S3450,1,0.6213,1,0,0,0,0.5594,56,0
E000303,S0099,1,0.4429,2,0,1,4,0.1881,49,1
E000304,S3309,1,0.0775,0,1,1,0,0.1676,68,0
E000305,S2278,1,0.0665,0,1,1,0,0.0814,69,0
E000306,S0025,0,0.5662,1,0,1,7,0.3986,28,1
E000307,S0901,0,0.2503,1,1,1,1,0.3301,72,0
E000308,S3947,1,0.0975,0,0,1,0,0.0479,77,0
E000309,S1710,0,0.0664,0,0,1,0,0.2721,99,0
E000310,S2325,1,0.0793,0,0,0,0,0.095,87,0
E000311,S0006,0,0.7741,3,1,0,4,0.4881,11,1
E000312,S2624,1,0.1221,0,0,1,0,0.0233,82,0
E000313,S1032,0,0.6139,1,1,1,2,0.5464,28,0
E000314,S0111,0,0.8297,1,1,0,3,0.6819,10,1
E000315,S3729,1,0.0828,0,0,1,0,0.0856,79,0
E000316,S1545,1,0.0512,0,0,1,0,0.135,88,0
E000317,S1858,1,0.2095,1,1,1,0,0.3146,41,0
E000318,S1772,0,0.3229,0,0,1,0,0.1356,52,1
E000319,S0003,1,0.7508,4,1,0,4,0.6516,26,1
E000320,S0734,1,0.0234,0,0,1,0,0.0046,62,0
E000321,S1459,1,0.0789,0,0,1,0,0.0874,82,0
E000322,S2853,1,0.054,1,0,1,0,0.0396,92,0
E000323,S3211,1,0.1558,1,0,1,0,0.1673,82,0
E000324,S1727,0,0.0464,0,0,1,0,0.1368,71,0
E000325,S0372,1,0.1877,0,0,1,0,0.1294,62,0
E000326,S1978,0,0.8292,5,0,0,0,0.7518,9,1
E000327,S2311,1,0.0673,0,0,1,0,0.0457,67,0
E000328,S2494,0,0.196,0,0,1,0,0.0921,59,0
E000329,S2401,1,0.1828,0,0,1,0,0.0459,64,0
E000330,S2737,1,0.0846,0,1,1,0,0.0794,69,0
E000331,S3431,0,0.7521,1,0,0,0,0.5317,41,0
E000332,S1246,1,0.0811,0,1,1,0,0.6922,83,0
E000333,S3730,1,0.1689,1,0,1,1,0.0634,81,0
E000334,S0177,1,0.5203,0,0,1,2,0.2938,19,1
E000335,S0697,1,0.3,0,1,0,0,0.3913,70,1
E000336,S1065,1,0.0587,0,1,1,0,0.2224,60,0
E000337,S4035,0,0.5648,2,0,1,0,0.6253,22,1
E000338,S2075,1,0.1378,0,0,1,0,0.1377,80,0
E000339,S4192,0,0.7805,3,0,1,1,0.8234,58,1
E000340,S0435,0,0.0506,0,0,1,0,0.3156,76,0
E000341,S2690,0,0.0876,0,0,0,0,0.1128,86,0
E000342,S1003,0,0.0798,0,0,1,0,0.0744,96,0
E000343,S0085,0,0.381,1,1,0,0,0.3082,68,1
E000344,S3162,1,0.114,0,0,1,0,0.0434,78,0
E000345,S0220,1,0.0459,0,0,1,0,0.0692,90,0
E000346,S2217,1,0.0574,0,0,1,0,0.0444,100,0
E000347,S3914,1,0.1006,0,0,1,0,0.044,100,1
E000348,S1238,0,0.2973,0,1,1,1,0.5328,57,1
E000349,S3408,0,0.7141,5,1,1,1,0.6968,32,1
E000350,S0389,1,0.2789,0,0,1,0,0.0141,81,0
E000351,S1476,1,0.2381,0,0,1,0,0.4123,79,0
E000352,S3212,0,0.0297,0,0,0,0,0.6796,73,0
E000353,S1002,0,0.0769,1,0,1,0,0.0741,79,0
E000354,S1898,0,0.2562,0,0,1,0,0.0341,56,0
E000355,S2144,1,0.2771,0,0,1,1,0.342,80,1
E000356,S0251,0,0.7864,2,1,1,4,0.5675,19,1
E000357,S3252,0,0.196,0,0,0,1,0.6082,47,0
E000358,S2182,0,0.4422,0,0,0,2,0.4773,56,1
E000359,S2114,1,0.1991,0,0,1,0,0.0843,76,0
E000360,S1192,1,0.1327,0,1,1,0,0.353,66,0
E000361,S3564,1,0.084,0,0,1,0,0.4036,71,0
E000362,S1735,1,0.0864,0,0,1,0,0.0696,77,0
E000363,S0246,1,0.0738,0,0,1,0,0.0383,67,0
E000364,S3248,0,0.5634,0,1,1,0,0.4623,81,1
E000365,S3459,1,0.0423,0,0,1,1,0.2072,80,0
E000366,S1054,1,0.3084,0,0,1,0,0.0972,83,0
E000367,S0073,0,0.4996,6,0,0,3,0.4416,17,1
E000368,S1864,0,0.6082,2,0,0,0,0.4709,46,0
E000369,S3209,1,0.0544,0,0,1,0,0.5275,76,0
E000370,S2827,0,0.7752,0,0,0,1,0.4507,10,0
E000371,S0927,1,0.0743,0,0,1,0,0.0471,80,0
E000372,S4041,1,0.0737,0,0,1,0,0.5409,54,0
E000373,S2941,1,0.0873,0,0,1,0,0.6306,80,0
E000374,S4136,0,0.3304,0,0,0,1,0.2639,31,1
E000375,S3801,1,0.1709,1,0,1,0,0.005,84,0
E000376,S0757,0,0.807,1,1,1,1,0.6404,46,1
E000377,S3134,1,0.0349,0,0,1,0,0.084,89,0
E000378,S1288,0,0.0469,1,0,1,0,0.0284,85,0
E000379,S0951,1,0.1432,0,0,1,0,0.0608,74,0
E000380,S0274,1,0.6983,6,1,0,4,0.8114,30,1
E000381,S0945,0,0.2211,0,1,0,0,0.4015,68,0
E000382,S0882,1,0.0671,0,0,1,0,0.0469,88,0
E000383,S0950,1,0.0641,0,1,1,0,0.1588,73,0
E000384,S1879,1,0.0566,0,0,1,0,0.0471,76,1
E000385,S0449,1,0.0336,0,0,1,0,0.0243,66,0
E000386,S0470,1,0.4151,1,1,0,0,0.6267,57,0
E000387,S0334,1,0.0229,0,0,1,0,0.5821,79,0
E000388,S3122,1,0.0439,1,0,1,0,0.1813,85,0
E000389,S0900,0,0.3841,2,0,0,0,0.1558,51,0
E000390,S1697,1,0.45,3,1,0,0,0.5788,40,0
E000391,S0679,0,0.1336,1,0,1,0,0.1019,70,0
E000392,S4198,1,0.0646,0,0,1,0,0.0502,74,0
E000393,S3798,0,0.0659,2,1,1,0,0.0621,77,0
E000394,S2319,0,0.8706,2,0,0,0,0.3862,32,1
E000395,S3636,1,0.0336,0,0,1,0,0.5317,81,0
E000396,S1978,1,0.1019,0,1,1,0,0.2911,64,0
E000397,S3476,0,0.1409,0,0,1,0,0.0663,82,0
E000398,S1616,1,0.1002,0,0,0,0,0.0941,59,0
E000399,S1593,1,0.0947,0,0,1,0,0.0571,84,0
E000400,S2365,1,0.123,0,0,0,0,0.0488,66,0
E000401,S2868,0,0.1009,0,0,1,0,0.0849,81,0
E000402,S2269,0,0.2301,0,0,1,1,0.1795,54,0
E000403,S1300,0,0.4677,0,0,0,1,0.7696,17,0
E000404,S1296,1,0.1162,0,0,1,0,0.2241,73,0
E000405,S2550,1,0.1655,0,0,1,0,0.0957,77,0
E000406,S3937,0,0.1221,0,0,1,0,0.172,85,0
E000407,S4195,0,0.5933,3,1,0,0,0.6072,39,1
E000408,S3599,1,0.0979,0,0,1,0,0.1096,80,0
E000409,S2593,0,0.741,3,0,1,0,0.6971,17,1
E000410,S0358,1,0.1841,0,0,1,0,0.1564,88,0
E000411,S2027,0,0.4629,2,0,1,2,0.8409,42,0
E000412,S1263,0,0.483,0,1,1,0,0.3169,67,1
E000413,S3184,1,0.1293,0,0,1,0,0.0226,88,0
E000414,S0428,1,0.0998,0,0,1,0,0.6563,72,0
E000415,S3889,1,0.0433,0,0,1,0,0.0955,100,0
E000416,S2017,0,0.1082,1,0,1,0,0.3576,93,0
E000417,S2145,1,0.1207,0,0,1,0,0.1091,76,0
E000418,S3367,0,0.0353,0,0,1,0,0.0844,83,0
E000419,S2802,0,0.139,0,0,0,0,0.1067,65,1
E000420,S3356,0,0.0651,0,0,1,0,0.3594,66,0
E000421,S3263,1,0.0578,0,0,1,0,0.1998,86,0
E000422,S3453,1,0.0292,0,0,1,0,0.6542,76,0
E000423,S0778,0,0.6673,0,1,1,0,0.7367,38,0
E000424,S1042,1,0.1054,0,0,1,0,0.0157,65,0
E000425,S1345,1,0.0764,0,0,1,0,0.0615,60,0
E000426,S0270,1,0.8365,2,0,0,5,0.8535,10,1
E000427,S2944,0,0.7002,2,0,0,0,0.864,42,1
E000428,S3956,0,0.6087,5,1,1,0,0.7469,12,0
E000429,S3054,0,0.2996,1,0,1,0,0.5774,66,0
E000430,S1231,0,0.2287,0,1,1,0,0.4182,44,0
E000431,S2110,1,0.0438,1,0,1,0,0.1135,81,1
E000432,S0116,0,0.4671,2,1,0,1,0.6942,28,1
E000433,S3398,0,0.7298,4,1,1,0,0.556,29,1
E000434,S3454,1,0.0935,0,0,1,0,0.0964,91,0
E000435,S2831,1,0.1563,0,1,1,0,0.1551,55,0
E000436,S1531,1,0.0373,0,0,1,0,0.4109,59,0
